School Name,Street Address,City,Coordinates
PROGRESS High School for Professional Careers,850 Grand Street,Brooklyn,"(40.7118806, -73.94033809999999)"
School for Legal Studies,850 Grand Street,Brooklyn,"(40.7118806, -73.94033809999999)"
 High School for Enterprise Business and Technology,850 Grand Street,Brooklyn,"(40.7118806, -73.94033809999999)"
Brooklyn Preparatory High School,257 North 6 Street,Brooklyn,"(38.6604476, -90.167141)"
Williamsburg High School for Architecture and Design,257 North 6 Street,Brooklyn,"(38.6604476, -90.167141)"
Williamsburg Preparatory School,257 North 6 Street,Brooklyn,"(38.6604476, -90.167141)"
Lyons Community School,223 Graham Avenue,Brooklyn,"(40.7097993, -73.9441196)"
Automotive High School,50 Bedford Avenue,Brooklyn,"(40.7222582, -73.9535961)"
Young Women's Leadership School of Brooklyn,325 Bushwick Avenue,Brooklyn,"(40.70497599999999, -73.938767)"
Frances Perkins Academy,50 Bedford Avenue,Brooklyn,"(40.7222582, -73.9535961)"
El Puente Academy for Peace and Justice,250 Hooper Street,Brooklyn,"(40.7056895, -73.9556959)"
Brooklyn Frontiers High School,112 Schermerhorn Street,Brooklyn,"(40.6900097, -73.9892637)"
Brooklyn School for Global Studies,284 Baltic Street,Brooklyn,"(40.6853801, -73.9938329)"
Brooklyn Secondary School for Collaborative Studies,610 Henry Street,Brooklyn,"(40.67943229999999, -74.0019427)"
Secondary School for Law,237 7 Avenue,Brooklyn,"(40.6694296, -73.9788092)"
Secondary School for Journalism,237 7 Avenue,Brooklyn,"(40.6694296, -73.9788092)"
Park Slope Collegiate,237 7 Avenue,Brooklyn,"(40.6694296, -73.9788092)"
School for International Studies,284 Baltic Street,Brooklyn,"(40.6853801, -73.9938329)"
Cobble Hill School of American Studies,347 Baltic Street,Brooklyn,"(40.6848686, -73.99077)"
Khalil Gibran International Academy,362 Schermerhorn Street,Brooklyn,"(40.6863861, -73.9797253)"
Brooklyn High School of  Arts,345 Dean Street,Brooklyn,"(40.6837172, -73.98023959999999)"
Sunset Park High School,153 35Th Street,Brooklyn,"(40.6556457, -74.0044674)"
Millennium Brooklyn HS,237 7 Avenue,Brooklyn,"(40.6694296, -73.9788092)"
Frederick Douglass Academy IV Secondary School,1014 Lafayette Avenue,Brooklyn,"(40.6919757, -73.93148839999999)"
Boys and Girls High School,1700 Fulton Street,Brooklyn,"(40.67892270000001, -73.9316585)"
Brooklyn High School for Law and Technology,1396 Broadway,Brooklyn,"(40.6884532, -73.9207644)"
Gotham Professional Arts Academy,265 Ralph Avenue,Brooklyn,"(40.6801794, -73.9217769)"
 Brooklyn Academy of Global Finance,125 Stuyvesant Avenue,Brooklyn,"(40.6912889, -73.9334089)"
Pathways in Technology Early College High School (P-Tech),150 Albany Avenue,Brooklyn,"(40.6753999, -73.93920539999999)"
Academy for College Preparation and Career Exploration: A College Board School,911 Flatbush Avenue,Brooklyn,"(40.6494997, -73.95816169999999)"
Academy of Hospitality and Tourism,911 Flatbush Avenue,Brooklyn,"(40.6494997, -73.95816169999999)"
International High School at Prospect Heights,883 Classon Avenue,Brooklyn,"(40.66995610000001, -73.9611201)"
 High School for Global Citizenship,883 Classon Avenue,Brooklyn,"(40.66995610000001, -73.9611201)"
School for Human Rights ,600 Kingston Avenue,Brooklyn,"(40.658665, -73.943838)"
School for Democracy and Leadership,600 Kingston Avenue,Brooklyn,"(40.658665, -73.943838)"
High School for Youth and Community Development at Erasmus,911 Flatbush Avenue,Brooklyn,"(40.6494997, -73.95816169999999)"
High School for Service & Learning at Erasmus,911 Flatbush Avenue,Brooklyn,"(40.6494997, -73.95816169999999)"
Science Technology and Research Early College High School at Erasmus,911 Flatbush Avenue,Brooklyn,"(40.6494997, -73.95816169999999)"
High School for Public Service: Heroes of Tomorrow,600 Kingston Avenue,Brooklyn,"(40.658665, -73.943838)"
Brooklyn Academy of Science and  Environment,883 Classon Avenue,Brooklyn,"(40.66995610000001, -73.9611201)"
Brooklyn School for Music & atre,883 Classon Avenue,Brooklyn,"(40.66995610000001, -73.9611201)"
Medgar Evers College Preparatory School,1186 Carroll Street,Brooklyn,"(40.667, -73.95101360000001)"
Clara Barton High School,901 Classon Avenue,Brooklyn,"(40.6691193, -73.9617434)"
Brooklyn Institute for Liberal Arts,600 Kingston Avenue,Brooklyn,"(40.658665, -73.943838)"
Academy for Health Careers,150 Albany Avenue,Brooklyn,"(40.6753999, -73.93920539999999)"
It Takes a Village Academy,5800 Tilden Avenue,Brooklyn,"(40.6480566, -73.9222341)"
Brooklyn Generation School,6565 Flatlands Avenue,Brooklyn,"(40.6335392, -73.9174422)"
Brooklyn atre Arts High School,6565 Flatlands Avenue,Brooklyn,"(40.6335392, -73.9174422)"
Kurt Hahn Expeditionary Learning School,5800 Tilden Avenue,Brooklyn,"(40.6480566, -73.9222341)"
Victory Collegiate High School,6565 Flatlands Avenue,Brooklyn,"(40.6335392, -73.9174422)"
Arts & Media Preparatory Academy,905 Winthrop Street,Brooklyn,"(40.6586846, -73.9286824)"
