UNITID_P,INSTNM,BRANCH,State,Sector_desc,men_total,women_total,Total,MURD10,NEG_M10,FORCIB10,NONFOR10,ROBBE10,AGG_A10,BURGLA10,VEHIC10,ARSON10,MURD11,NEG_M11,FORCIB11,NONFOR11,ROBBE11,AGG_A11,BURGLA11,VEHIC11,ARSON11,MURD12,NEG_M12,FORCIB12,NONFOR12,ROBBE12,AGG_A12,BURGLA12,VEHIC12,ARSON12,FILTER10,FILTER11,FILTER12
133386003,Daytona State College,Flagler/Palm Coast Campus,FL,"Public, 4-year or above",6054,9130,15184,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
133386005,Daytona State College,DeLand Campus,FL,"Public, 4-year or above",6054,9130,15184,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
133386006,Daytona State College,Advanced Technology College,FL,"Public, 4-year or above",6054,9130,15184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
133386007,Daytona State College,Deltona Campus,FL,"Public, 4-year or above",6054,9130,15184,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
133386008,Daytona State College,The News Journal Center,FL,"Public, 4-year or above",6054,9130,15184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
133465001,South University-West Palm Beach,South University-West Palm Beach,FL,"Private for-profit, 4-year or above",237,792,1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
133492001,Eckerd College,Main Campus,FL,"Private nonprofit, 4-year or above",922,1415,2337,0,0,5,0,1,2,44,11,2,0,0,5,0,0,1,13,10,0,0,0,5,0,0,3,37,5,0,1,1,1
133492004,Eckerd College,P.E.L.- Tampa Center,FL,"Private nonprofit, 4-year or above",922,1415,2337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
133508001,Edison State College,Main Campus,FL,"Public, 4-year or above",6246,9485,15731,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,1
133508002,Edison State College,Charlotte County Campus,FL,"Public, 4-year or above",6246,9485,15731,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1
133508003,Edison State College,Collier County Campus,FL,"Public, 4-year or above",6246,9485,15731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
133508004,Edison State College,Hendry Glades Center,FL,"Public, 4-year or above",6246,9485,15731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
133526001,Edward Waters College,Main Campus,FL,"Private nonprofit, 4-year or above",526,399,925,0,0,0,0,2,3,20,0,0,0,0,0,0,3,0,12,1,0,0,0,0,0,1,1,14,0,0,1,1,1
133553001,Embry-Riddle Aeronautical University-Daytona Beach,"Daytona Beach, FL Campus",FL,"Private nonprofit, 4-year or above",4220,900,5120,0,0,0,0,1,1,9,3,0,0,0,1,0,0,1,5,5,0,0,0,2,0,1,1,1,1,0,1,1,1
133650001,Florida Agricultural and Mechanical University,Main Campus,FL,"Public, 4-year or above",4633,7424,12057,0,0,0,0,2,5,27,2,0,0,0,1,0,5,7,9,12,1,0,0,3,0,3,8,20,5,1,1,1,1
133650002,Florida Agricultural and Mechanical University,Florida A&M University-College of Law,FL,"Public, 4-year or above",4633,7424,12057,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1
133669001,Florida Atlantic University,Boca Raton,FL,"Public, 4-year or above",12893,17101,29994,0,0,4,0,1,0,39,17,2,0,0,1,0,1,0,19,13,2,0,0,3,0,1,3,32,8,0,1,1,1
133669002,Florida Atlantic University,Port St. Lucie Campus,FL,"Public, 4-year or above",12893,17101,29994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
